Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_1206_3216Metric",45.550250,-46.200500,180.000000,top
"C2","47uF","C_1206_3216Metric",45.550250,-78.200500,180.000000,top
"C3","47uF","C_1206_3216Metric",45.550250,-110.200500,180.000000,top
"C4","47uF","C_1206_3216Metric",45.550250,-142.200500,180.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.050250,-46.200500,-90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.050250,-46.200500,-90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.050250,-46.200500,-90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.050250,-46.200500,-90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.050250,-78.200500,-90.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.050250,-78.200500,-90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.050250,-78.200500,-90.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.050250,-78.200500,-90.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.050250,-110.200500,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.050250,-110.200500,-90.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.050250,-110.200500,-90.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.050250,-110.200500,-90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",61.050250,-142.200500,-90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",93.050250,-142.200500,-90.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",125.050250,-142.200500,-90.000000,top
"C25","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",157.050250,-142.200500,-90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.550250,-46.200500,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.550250,-46.200500,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550250,-46.200500,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",149.550250,-46.200500,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.550250,-78.200500,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.550250,-78.200500,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550250,-78.200500,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",149.550250,-78.200500,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.550250,-110.200500,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.550250,-110.200500,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550250,-110.200500,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",149.550250,-110.200500,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",53.550250,-142.200500,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",85.550250,-142.200500,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",117.550250,-142.200500,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",149.550250,-142.200500,0.000000,top
"U1","DRV5032FC","SOT-23",69.550250,-126.200500,0.000000,top
"U2","DRV5032FC","SOT-23",69.550250,-94.200500,0.000000,top
"U3","DRV5032FC","SOT-23",69.550250,-62.200500,0.000000,top
"U4","DRV5032FC","SOT-23",101.550250,-126.200500,0.000000,top
"U5","DRV5032FC","SOT-23",101.550250,-94.200500,0.000000,top
"U6","DRV5032FC","SOT-23",101.550250,-62.200500,0.000000,top
"U7","DRV5032FC","SOT-23",133.550250,-126.200500,0.000000,top
"U8","DRV5032FC","SOT-23",133.550250,-94.200500,0.000000,top
"U9","DRV5032FC","SOT-23",133.550250,-62.200500,0.000000,top
