Designator,Mid X,Mid Y,Layer,Rotation
C1,65.606250mm,139.737500mm,Top,270
C2,65.606250mm,107.737500mm,Top,270
C3,65.606250mm,75.737500mm,Top,270
C4,66.131250mm,43.737500mm,Top,270
C10,78.331250mm,43.737500mm,Top,270
C11,110.331250mm,43.737500mm,Top,270
C12,142.331250mm,43.737500mm,Top,270
C13,174.331250mm,43.737500mm,Top,270
C14,78.331250mm,75.737500mm,Top,270
C15,110.331250mm,75.737500mm,Top,270
C16,142.331250mm,75.737500mm,Top,270
C17,174.331250mm,75.737500mm,Top,270
C18,78.331250mm,107.737500mm,Top,270
C19,110.331250mm,107.737500mm,Top,270
C20,142.331250mm,107.737500mm,Top,270
C21,174.331250mm,107.737500mm,Top,270
C22,78.331250mm,139.737500mm,Top,270
C23,110.331250mm,139.737500mm,Top,270
C24,142.331250mm,139.737500mm,Top,270
C25,174.331250mm,139.737500mm,Top,270
D1,72.331250mm,43.737500mm,Top,270
D2,104.331250mm,43.737500mm,Top,270
D3,136.331250mm,43.737500mm,Top,270
D4,168.331250mm,43.737500mm,Top,270
D5,72.331250mm,75.737500mm,Top,270
D6,104.331250mm,75.737500mm,Top,270
D7,136.331250mm,75.737500mm,Top,270
D8,168.331250mm,75.737500mm,Top,270
D9,72.331250mm,107.737500mm,Top,270
D10,104.331250mm,107.737500mm,Top,270
D11,136.331250mm,107.737500mm,Top,270
D12,168.331250mm,107.737500mm,Top,270
D13,72.331250mm,139.737500mm,Top,270
D14,104.331250mm,139.737500mm,Top,270
D15,136.331250mm,139.737500mm,Top,270
D16,168.331250mm,139.737500mm,Top,270
U1,88.331250mm,123.737500mm,Top,180
U2,88.331250mm,91.737500mm,Top,180
U3,88.331250mm,59.737500mm,Top,180
U4,120.331250mm,123.737500mm,Top,180
U5,120.331250mm,91.737500mm,Top,180
U6,120.331250mm,59.737500mm,Top,180
U7,152.331250mm,123.737500mm,Top,180
U8,152.331250mm,91.737500mm,Top,180
U9,152.331250mm,59.737500mm,Top,180
