Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","C_1206_3216Metric",13.020000,274.650000,0.000000,top
"C2","47uF","C_1206_3216Metric",13.020000,242.900000,0.000000,top
"C3","47uF","C_1206_3216Metric",13.020000,211.200000,0.000000,top
"C4","47uF","C_1206_3216Metric",13.020000,179.400000,0.000000,top
"C5","47uF","C_1206_3216Metric",13.020000,147.700000,0.000000,top
"C6","47uF","C_1206_3216Metric",13.020000,115.900000,0.000000,top
"C7","47uF","C_1206_3216Metric",13.020000,84.200000,0.000000,top
"C8","47uF","C_1206_3216Metric",13.020000,52.400000,0.000000,top
"C9","47uF","C_1206_3216Metric",13.020000,20.600000,0.000000,top
"C10","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,268.000000,-90.000000,top
"C11","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,268.000000,-90.000000,top
"C12","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,268.000000,-90.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,268.000000,-90.000000,top
"C14","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,268.000000,-90.000000,top
"C15","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,268.000000,-90.000000,top
"C16","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,268.000000,-90.000000,top
"C17","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,268.000000,-90.000000,top
"C18","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,268.000000,-90.000000,top
"C19","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,236.250000,-90.000000,top
"C20","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,236.250000,-90.000000,top
"C21","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,236.250000,-90.000000,top
"C22","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,236.250000,-90.000000,top
"C23","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,236.250000,-90.000000,top
"C24","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,236.250000,-90.000000,top
"C25","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,236.250000,-90.000000,top
"C26","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,236.250000,-90.000000,top
"C27","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,236.250000,-90.000000,top
"C28","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,204.500000,-90.000000,top
"C29","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,204.500000,-90.000000,top
"C30","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,204.500000,-90.000000,top
"C31","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,204.500000,-90.000000,top
"C32","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,204.500000,-90.000000,top
"C33","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,204.500000,-90.000000,top
"C34","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,204.500000,-90.000000,top
"C35","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,204.500000,-90.000000,top
"C36","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,204.500000,-90.000000,top
"C37","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,172.800000,-90.000000,top
"C38","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,172.800000,-90.000000,top
"C39","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,172.800000,-90.000000,top
"C40","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,172.800000,-90.000000,top
"C41","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,172.800000,-90.000000,top
"C42","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,172.800000,-90.000000,top
"C43","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,172.800000,-90.000000,top
"C44","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,172.800000,-90.000000,top
"C45","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,172.800000,-90.000000,top
"C46","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,141.000000,-90.000000,top
"C47","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,141.000000,-90.000000,top
"C48","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,141.000000,-90.000000,top
"C49","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,141.000000,-90.000000,top
"C50","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,141.000000,-90.000000,top
"C51","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,141.000000,-90.000000,top
"C52","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,141.000000,-90.000000,top
"C53","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,141.000000,-90.000000,top
"C54","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,141.000000,-90.000000,top
"C55","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,109.200000,-90.000000,top
"C56","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,109.200000,-90.000000,top
"C57","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,109.200000,-90.000000,top
"C58","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,109.200000,-90.000000,top
"C59","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,109.200000,-90.000000,top
"C60","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,109.200000,-90.000000,top
"C61","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,109.200000,-90.000000,top
"C62","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,109.200000,-90.000000,top
"C63","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,109.200000,-90.000000,top
"C64","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,77.500000,-90.000000,top
"C65","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,77.500000,-90.000000,top
"C66","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,77.500000,-90.000000,top
"C67","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,77.500000,-90.000000,top
"C68","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,77.500000,-90.000000,top
"C69","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,77.500000,-90.000000,top
"C70","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,77.500000,-90.000000,top
"C71","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,77.500000,-90.000000,top
"C72","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,77.500000,-90.000000,top
"C73","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,45.800000,-90.000000,top
"C74","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,45.800000,-90.000000,top
"C75","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,45.800000,-90.000000,top
"C76","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,45.800000,-90.000000,top
"C77","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,45.800000,-90.000000,top
"C78","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,45.800000,-90.000000,top
"C79","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,45.800000,-90.000000,top
"C80","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,45.800000,-90.000000,top
"C81","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,45.800000,-90.000000,top
"C82","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",19.500000,14.000000,-90.000000,top
"C83","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",51.200000,14.000000,-90.000000,top
"C84","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",83.000000,14.000000,-90.000000,top
"C85","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",114.800000,14.000000,-90.000000,top
"C86","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",146.500000,14.000000,-90.000000,top
"C87","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",178.200000,14.000000,-90.000000,top
"C88","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",210.000000,14.000000,-90.000000,top
"C89","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",241.800000,14.000000,-90.000000,top
"C90","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",273.500000,14.000000,-90.000000,top
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",14.000000,268.000000,0.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",45.750000,268.000000,0.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",77.500000,268.000000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.200000,268.000000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",141.000000,268.000000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",172.800000,268.000000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.500000,268.000000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.200000,268.000000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",268.000000,268.000000,0.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",14.000000,236.250000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",45.750000,236.250000,0.000000,top
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",77.500000,236.250000,0.000000,top
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.200000,236.250000,0.000000,top
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",141.000000,236.250000,0.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",172.800000,236.250000,0.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.500000,236.250000,0.000000,top
"D17","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.200000,236.250000,0.000000,top
"D18","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",268.000000,236.250000,0.000000,top
"D19","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",14.000000,204.500000,0.000000,top
"D20","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",45.750000,204.500000,0.000000,top
"D21","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",77.500000,204.500000,0.000000,top
"D22","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",109.200000,204.500000,0.000000,top
"D23","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",141.000000,204.500000,0.000000,top
"D24","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",172.800000,204.500000,0.000000,top
"D25","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",204.500000,204.500000,0.000000,top
"D26","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",236.200000,204.500000,0.000000,top
