Designator,Mid X,Mid Y,Layer,Rotation
C1,13.020000mm,274.650000mm,Top,0
C2,13.020000mm,242.900000mm,Top,0
C3,13.020000mm,211.200000mm,Top,0
C4,13.020000mm,179.400000mm,Top,0
C5,13.020000mm,147.700000mm,Top,0
C6,13.020000mm,115.900000mm,Top,0
C7,13.020000mm,84.200000mm,Top,0
C8,13.020000mm,52.400000mm,Top,0
C9,13.020000mm,20.600000mm,Top,0
C10,19.500000mm,268.000000mm,Top,-90
C11,51.200000mm,268.000000mm,Top,-90
C12,83.000000mm,268.000000mm,Top,-90
C13,114.800000mm,268.000000mm,Top,-90
C14,146.500000mm,268.000000mm,Top,-90
C15,178.200000mm,268.000000mm,Top,-90
C16,210.000000mm,268.000000mm,Top,-90
C17,241.800000mm,268.000000mm,Top,-90
C18,273.500000mm,268.000000mm,Top,-90
C19,19.500000mm,236.250000mm,Top,-90
C20,51.200000mm,236.250000mm,Top,-90
C21,83.000000mm,236.250000mm,Top,-90
C22,114.800000mm,236.250000mm,Top,-90
C23,146.500000mm,236.250000mm,Top,-90
C24,178.200000mm,236.250000mm,Top,-90
C25,210.000000mm,236.250000mm,Top,-90
C26,241.800000mm,236.250000mm,Top,-90
C27,273.500000mm,236.250000mm,Top,-90
C28,19.500000mm,204.500000mm,Top,-90
C29,51.200000mm,204.500000mm,Top,-90
C30,83.000000mm,204.500000mm,Top,-90
C31,114.800000mm,204.500000mm,Top,-90
C32,146.500000mm,204.500000mm,Top,-90
C33,178.200000mm,204.500000mm,Top,-90
C34,210.000000mm,204.500000mm,Top,-90
C35,241.800000mm,204.500000mm,Top,-90
C36,273.500000mm,204.500000mm,Top,-90
C37,19.500000mm,172.800000mm,Top,-90
C38,51.200000mm,172.800000mm,Top,-90
C39,83.000000mm,172.800000mm,Top,-90
C40,114.800000mm,172.800000mm,Top,-90
C41,146.500000mm,172.800000mm,Top,-90
C42,178.200000mm,172.800000mm,Top,-90
C43,210.000000mm,172.800000mm,Top,-90
C44,241.800000mm,172.800000mm,Top,-90
C45,273.500000mm,172.800000mm,Top,-90
C46,19.500000mm,141.000000mm,Top,-90
C47,51.200000mm,141.000000mm,Top,-90
C48,83.000000mm,141.000000mm,Top,-90
C49,114.800000mm,141.000000mm,Top,-90
C50,146.500000mm,141.000000mm,Top,-90
C51,178.200000mm,141.000000mm,Top,-90
C52,210.000000mm,141.000000mm,Top,-90
C53,241.800000mm,141.000000mm,Top,-90
C54,273.500000mm,141.000000mm,Top,-90
C55,19.500000mm,109.200000mm,Top,-90
C56,51.200000mm,109.200000mm,Top,-90
C57,83.000000mm,109.200000mm,Top,-90
C58,114.800000mm,109.200000mm,Top,-90
C59,146.500000mm,109.200000mm,Top,-90
C60,178.200000mm,109.200000mm,Top,-90
C61,210.000000mm,109.200000mm,Top,-90
C62,241.800000mm,109.200000mm,Top,-90
C63,273.500000mm,109.200000mm,Top,-90
C64,19.500000mm,77.500000mm,Top,-90
C65,51.200000mm,77.500000mm,Top,-90
C66,83.000000mm,77.500000mm,Top,-90
C67,114.800000mm,77.500000mm,Top,-90
C68,146.500000mm,77.500000mm,Top,-90
C69,178.200000mm,77.500000mm,Top,-90
C70,210.000000mm,77.500000mm,Top,-90
C71,241.800000mm,77.500000mm,Top,-90
C72,273.500000mm,77.500000mm,Top,-90
C73,19.500000mm,45.800000mm,Top,-90
C74,51.200000mm,45.800000mm,Top,-90
C75,83.000000mm,45.800000mm,Top,-90
C76,114.800000mm,45.800000mm,Top,-90
C77,146.500000mm,45.800000mm,Top,-90
C78,178.200000mm,45.800000mm,Top,-90
C79,210.000000mm,45.800000mm,Top,-90
C80,241.800000mm,45.800000mm,Top,-90
C81,273.500000mm,45.800000mm,Top,-90
C82,19.500000mm,14.000000mm,Top,-90
C83,51.200000mm,14.000000mm,Top,-90
C84,83.000000mm,14.000000mm,Top,-90
C85,114.800000mm,14.000000mm,Top,-90
C86,146.500000mm,14.000000mm,Top,-90
C87,178.200000mm,14.000000mm,Top,-90
C88,210.000000mm,14.000000mm,Top,-90
C89,241.800000mm,14.000000mm,Top,-90
C90,273.500000mm,14.000000mm,Top,-90
D1,14.000000mm,268.000000mm,Top,0
D2,45.750000mm,268.000000mm,Top,0
D3,77.500000mm,268.000000mm,Top,0
D4,109.200000mm,268.000000mm,Top,0
D5,141.000000mm,268.000000mm,Top,0
D6,172.800000mm,268.000000mm,Top,0
D7,204.500000mm,268.000000mm,Top,0
D8,236.200000mm,268.000000mm,Top,0
D9,268.000000mm,268.000000mm,Top,0
D10,14.000000mm,236.250000mm,Top,0
D11,45.750000mm,236.250000mm,Top,0
D12,77.500000mm,236.250000mm,Top,0
D13,109.200000mm,236.250000mm,Top,0
D14,141.000000mm,236.250000mm,Top,0
D15,172.800000mm,236.250000mm,Top,0
D16,204.500000mm,236.250000mm,Top,0
D17,236.200000mm,236.250000mm,Top,0
D18,268.000000mm,236.250000mm,Top,0
D19,14.000000mm,204.500000mm,Top,0
D20,45.750000mm,204.500000mm,Top,0
D21,77.500000mm,204.500000mm,Top,0
D22,109.200000mm,204.500000mm,Top,0
D23,141.000000mm,204.500000mm,Top,0
D24,172.800000mm,204.500000mm,Top,0
D25,204.500000mm,204.500000mm,Top,0
D26,236.200000mm,204.500000mm,Top,0
D27,268.000000mm,204.500000mm,Top,0
D28,14.000000mm,172.800000mm,Top,0
D29,45.750000mm,172.800000mm,Top,0
D30,77.500000mm,172.800000mm,Top,0
D31,109.200000mm,172.800000mm,Top,0
D32,141.000000mm,172.800000mm,Top,0
D33,172.800000mm,172.800000mm,Top,0
D34,204.500000mm,172.800000mm,Top,0
D35,236.200000mm,172.800000mm,Top,0
D36,268.000000mm,172.800000mm,Top,0
D37,14.000000mm,141.000000mm,Top,0
D38,45.750000mm,141.000000mm,Top,0
D39,77.500000mm,141.000000mm,Top,0
D40,109.200000mm,141.000000mm,Top,0
D41,141.000000mm,141.000000mm,Top,0
D42,172.800000mm,141.000000mm,Top,0
