Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10µF","C_0805_2012Metric",53.349999,-64.538666,180.000000,top
"C2","10µF","C_0805_2012Metric",53.349999,-68.418666,180.000000,top
"C5","100nF","C_0805_2012Metric",65.899999,-109.468666,-90.000000,top
"C11","100nF","C_0603_1608Metric",96.700000,-115.898666,0.000000,top
"C12","100nF","C_0603_1608Metric",62.874999,-66.418666,180.000000,top
"D2","SS14 (or BAT60A)","D_SMA",62.749999,-99.618666,90.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",61.100000,-53.150000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",99.850000,-53.150000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",96.751699,-111.122817,0.000000,top
"R1","10k","R_0805_2012Metric",96.287499,-86.798666,180.000000,top
"R2","10k","R_0805_2012Metric",96.287499,-84.258666,180.000000,top
"R3","10k","R_0805_2012Metric",96.287499,-81.718666,180.000000,top
"R4","10k","R_0805_2012Metric",96.287499,-76.638666,180.000000,top
"R5","10k","R_0805_2012Metric",96.287499,-74.098666,180.000000,top
"R6","10k","R_0805_2012Metric",96.287499,-69.018666,180.000000,top
"R7","10k","R_0805_2012Metric",96.287499,-61.398666,180.000000,top
"R8","10k","R_0805_2012Metric",96.287499,-58.858666,180.000000,top
"R11","33Ω","R_0603_1608Metric",54.849999,-112.018666,-90.000000,top
"R14","220k","R_0603_1608Metric",62.874999,-68.918666,0.000000,top
"R15","100k","R_0603_1608Metric",62.874999,-71.518666,180.000000,top
"R36","10k","R_0603_1608Metric",62.874999,-61.298666,0.000000,top
"R37","10k","R_0603_1608Metric",62.899999,-63.838666,0.000000,top
"U3","74AHCT125","SOIC-14_3.9x8.7mm_P1.27mm",60.099999,-112.346166,0.000000,top
