Designator,Mid X,Mid Y,Layer,Rotation
C1,53.3500mm,64.5387mm,Top,180
C2,53.3500mm,68.4187mm,Top,180
C5,65.9000mm,109.4687mm,Top,270
C11,96.7000mm,115.8987mm,Top,0
C12,62.8750mm,66.4187mm,Top,180
D2,62.7500mm,99.6187mm,Top,90
J1,104.4000mm,85.4187mm,Top,180
J3,104.4000mm,56.9187mm,Top,0
M1,57.9000mm,56.9187mm,Top,0
R1,96.2875mm,86.7987mm,Top,180
R2,96.2875mm,84.2587mm,Top,180
R3,96.2875mm,81.7187mm,Top,180
R4,96.2875mm,76.6387mm,Top,180
R5,96.2875mm,74.0987mm,Top,180
R6,96.2875mm,69.0187mm,Top,180
R7,96.2875mm,61.3987mm,Top,180
R8,96.2875mm,58.8587mm,Top,180
R11,54.8500mm,112.0187mm,Top,270
R14,62.8750mm,68.9187mm,Top,0
R15,62.8750mm,71.5187mm,Top,180
R36,62.8750mm,61.2987mm,Top,0
R37,62.9000mm,63.8387mm,Top,0
U3,60.1000mm,112.3462mm,Top,0
U6,72.0600mm,115.8987mm,Top,90
