Designator,Mid X,Mid Y,Layer,Rotation
C1,52.562500mm,64.538666mm,Top,180
C2,52.562500mm,68.418666mm,Top,180
C5,65.112500mm,109.468666mm,Top,270
C11,95.912501mm,115.898666mm,Top,0
C12,62.087500mm,66.418666mm,Top,180
D2,61.962500mm,99.618666mm,Top,90
R1,95.500000mm,86.798666mm,Top,180
R2,95.500000mm,84.258666mm,Top,180
R3,95.500000mm,81.718666mm,Top,180
R4,95.500000mm,76.638666mm,Top,180
R5,95.500000mm,74.098666mm,Top,180
R6,95.500000mm,69.018666mm,Top,180
R7,95.500000mm,61.398666mm,Top,180
R8,95.500000mm,58.858666mm,Top,180
R11,54.062500mm,112.018666mm,Top,270
R14,62.087500mm,68.918666mm,Top,0
R15,62.087500mm,71.518666mm,Top,180
R36,62.087500mm,61.298666mm,Top,0
R37,62.112500mm,63.838666mm,Top,0
U3,59.312500mm,112.346166mm,Top,0
